"date","time","size","r_version","r_arch","r_os","package","version","country","ip_id"
"2015-01-01","03:56:54",879103,"3.1.1","x86_64","linux-gnu","zoo","1.7-11","US",650
"2015-01-01","03:56:55",161144,"3.1.1","x86_64","linux-gnu","Formula","1.1-2","US",650
"2015-01-01","03:56:57",2063044,"3.1.1","x86_64","linux-gnu","latticeExtra","0.6-26","US",650
"2015-01-01","03:56:57",69768,"3.1.2","i386","mingw32","acepack","1.3-3.3","US",650
"2015-01-01","03:56:58",498944,"3.0.2","x86_64","linux-gnu","sandwich","2.3-2","US",650
"2015-01-01","03:56:59",1567927,"3.0.2","x86_64","linux-gnu","Hmisc","3.14-6","US",650
"2015-01-01","03:56:59",542551,"3.1.2","i386","mingw32","e1071","1.6-4","US",650
"2015-01-01","03:57:00",90175,"3.1.2","i386","mingw32","RcmdrMisc","1.0-2","US",650
"2015-01-01","03:57:01",1377032,"3.1.1","x86_64","linux-gnu","car","2.0-22","US",650
"2015-01-01","03:57:01",1077073,"3.1.2","i386","mingw32","tcltk2","1.2-11","US",650
"2015-01-01","03:57:02",35748,"3.1.0","x86_64","mingw32","abind","1.4-0","US",650
"2015-01-01","03:56:19",14621,NA,NA,NA,"bayescount","0.8.2","FR",22
"2015-01-01","03:55:33",14621,NA,NA,NA,"distrMod","2.1","FR",3
"2015-01-01","03:56:36",14621,NA,NA,NA,"LogConcDEAD","1.0-8","FR",32
"2015-01-01","03:56:58",44064,"3.1.0","x86_64","mingw32","formatR","1.0","NZ",644
"2015-01-01","03:56:39",2071611,"3.1.0","x86_64","mingw32","maps","2.3-9","US",609
"2015-01-01","03:56:47",769478,"3.1.0","x86_64","mingw32","knitr","1.8","CN",649
"2015-01-01","03:56:50",36535,"3.0.2","x86_64","linux-gnu","bitops","1.0-6","CN",649
"2015-01-01","03:56:45",33565,"3.0.2","x86_64","linux-gnu","highr","0.4","CN",649
"2015-01-01","03:56:43",39242,"3.1.2","i386","mingw32","evaluate","0.5.5","CN",649
"2015-01-01","03:56:44",150225,"3.1.2","i386","mingw32","digest","0.6.7","CN",649
"2015-01-01","03:56:46",75605,"3.1.2","x86_64","linux-gnu","stringr","0.6.2","CN",649
"2015-01-01","03:56:48",180595,"3.0.2","x86_64","linux-gnu","yaml","2.1.13","CN",649
"2015-01-01","03:56:50",230164,"3.1.2","x86_64","mingw32","caTools","1.17.1","CN",649
"2015-01-01","03:57:06",5354659,"3.1.2","i386","mingw32","Rcmdr","2.1-5","US",650
"2015-01-01","03:56:45",164900,"3.1.2","i386","mingw32","markdown","0.7.4","CN",649
"2015-01-01","03:56:49",86281,"3.1.2","i386","mingw32","htmltools","0.2.6","CN",649
"2015-01-01","03:56:44",51065,"3.1.2","i386","mingw32","formatR","1.0","CN",649
"2015-01-01","03:57:04",1327360,NA,NA,NA,"topicmodels","0.2-1","CN",607
"2015-01-01","03:57:08",514,NA,NA,NA,"topmodel","0.7.2-2","CN",607
"2015-01-01","03:57:09",512,NA,NA,NA,"topologyGSA","1.4.4","CN",607
"2015-01-01","03:57:09",55387,NA,NA,NA,"topologyGSA","1.4.4","CN",607
"2015-01-01","03:57:12",512,NA,NA,NA,"topsis","1.0","CN",607
"2015-01-01","03:57:12",512,NA,NA,NA,"tosls","1.0","CN",607
"2015-01-01","03:57:13",513,NA,NA,NA,"tourrGui","0.4","CN",607
"2015-01-01","03:57:14",84682,NA,NA,NA,"tourrGui","0.4","CN",607
